Èas (s);EMG (mV)
0,000;-1,650
0,001;-1,650
0,002;-1,650
0,003;-1,650
0,004;-1,650
0,005;-1,650
0,006;-1,650
0,007;-1,650
0,008;-1,650
0,009;-1,650
0,010;-1,650
0,011;-1,650
0,012;-1,650
0,013;-1,650
0,014;-1,650
0,015;-1,650
0,016;-1,650
0,017;-1,650
0,018;-1,650
0,019;-1,650
0,020;-1,650
0,021;-1,650
0,022;-1,650
0,023;-1,650
0,024;-1,650
0,025;-1,650
0,026;-1,650
0,027;-1,650
0,028;-1,650
0,029;-1,650
0,030;-1,650
0,031;-1,650
0,032;-1,650
0,033;-1,650
0,034;-1,650
0,035;-1,650
0,036;-1,650
0,037;-1,650
0,038;-1,650
0,039;-1,650
0,040;-1,650
0,041;-1,650
0,042;-1,650
0,043;-1,650
0,044;-1,650
0,045;-1,650
0,046;-1,650
0,047;-1,650
0,048;-1,650
0,049;-1,650
0,050;-1,650
0,051;-1,650
0,052;-1,650
0,053;-1,650
0,054;-1,650
0,055;-1,650
0,056;-1,650
0,057;-1,650
0,058;-1,650
0,059;-1,650
0,060;-1,650
0,061;-1,650
0,062;-1,650
0,063;-1,650
0,064;-1,650
0,065;-1,650
0,066;-1,650
0,067;-1,650
0,068;-1,650
0,069;-1,650
0,070;-1,650
0,071;-1,650
0,072;-1,650
0,073;-1,650
0,074;-1,650
0,075;-1,650
0,076;-1,650
0,077;-1,650
0,078;-1,650
0,079;-1,650
0,080;-1,650
0,081;-1,650
0,082;-1,650
0,083;-1,650
0,084;-1,650
0,085;-1,650
0,086;-1,650
0,087;-1,650
0,088;-1,650
0,089;-1,650
0,090;-1,650
0,091;-1,650
0,092;-1,650
0,093;-1,650
0,094;-1,650
0,095;-1,650
0,096;-1,650
0,097;-1,650
0,098;-1,650
0,099;-1,650
0,100;-1,650
0,101;-1,650
0,102;-1,650
0,103;-1,650
0,104;-1,650
0,105;-1,650
0,106;-1,650
0,107;-1,650
0,108;-1,650
0,109;-1,650
0,110;-1,650
0,111;-1,650
0,112;-1,650
0,113;-1,650
0,114;-1,650
0,115;-1,650
0,116;-1,650
0,117;-1,650
0,118;-1,650
0,119;-1,650
0,120;-1,650
0,121;-1,650
0,122;-1,650
0,123;-1,650
0,124;-1,650
0,125;-1,650
0,126;-1,650
0,127;-1,650
0,128;-1,650
0,129;-1,650
0,130;-1,650
0,131;-1,650
0,132;-1,650
0,133;-1,650
0,134;-1,650
0,135;-1,650
0,136;-1,650
0,137;-1,650
0,138;-1,650
0,139;-1,650
0,140;-1,650
0,141;-1,650
0,142;-1,650
0,143;-1,650
0,144;-1,650
0,145;-1,650
0,146;-1,650
0,147;-1,650
0,148;-1,650
0,149;-1,650
0,150;-1,650
0,151;-1,650
0,152;-1,650
0,153;-1,650
0,154;-1,650
0,155;-1,650
0,156;-1,650
0,157;-1,650
0,158;-1,650
0,159;-1,650
0,160;-1,650
0,161;-1,650
0,162;-1,650
0,163;-1,650
0,164;-1,650
0,165;-1,650
0,166;-1,650
0,167;-1,650
0,168;-1,650
0,169;-1,650
0,170;-1,650
0,171;-1,650
0,172;-1,650
0,173;-1,650
0,174;-1,650
0,175;-1,650
0,176;-1,650
0,177;-1,650
0,178;-1,650
0,179;-1,650
0,180;-1,650
0,181;-1,650
0,182;-1,650
0,183;-1,650
0,184;-1,650
0,185;-1,650
0,186;-1,650
0,187;-1,650
0,188;-1,650
0,189;-1,650
0,190;-1,650
